epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1243.82,0.70257,0.41508,0.98062,0.9975,0.87275,0.87,0.70302,0.5423,0.31347,0.91099,0.000990365,0.000990365,0.000990365
43,1273.44,0.66091,0.39311,0.96453,0.99555,0.8687,0.86998,0.6968,0.56131,0.3296,0.90365,0.000973861,0.000973861,0.000973861
44,1302.98,0.68248,0.40386,0.971,0.99803,0.87356,0.87,0.67068,0.56747,0.30871,0.91267,0.000957358,0.000957358,0.000957358
45,1332.53,0.66601,0.39116,0.96219,0.99581,0.87337,0.87,0.66097,0.55239,0.31489,0.89086,0.000940855,0.000940855,0.000940855
46,1362.17,0.66292,0.38971,0.96064,0.998,0.87374,0.90692,0.69715,0.58135,0.282,0.90824,0.000924352,0.000924352,0.000924352
47,1391.72,0.65509,0.38491,0.96422,0.99762,0.87275,0.89212,0.67325,0.58094,0.31608,0.92738,0.000907848,0.000907848,0.000907848
48,1421.26,0.67531,0.3868,0.97029,0.99747,0.875,0.87,0.68291,0.52829,0.27346,0.90421,0.000891345,0.000891345,0.000891345
49,1450.81,0.65278,0.38103,0.95263,0.99562,0.875,0.87,0.71306,0.51187,0.29172,0.88934,0.000874842,0.000874842,0.000874842
50,1480.36,0.65428,0.3814,0.96587,0.99303,0.87275,0.89043,0.73591,0.49859,0.2885,0.87843,0.000858338,0.000858338,0.000858338
51,1509.88,0.66663,0.38892,0.96094,0.99364,0.875,0.87,0.68593,0.56164,0.31369,0.90548,0.000841835,0.000841835,0.000841835
52,1539.43,0.64822,0.38047,0.95983,0.99828,0.872,0.87,0.71183,0.52475,0.29829,0.89491,0.000825332,0.000825332,0.000825332
53,1569,0.64572,0.37532,0.95619,0.99817,0.87424,0.87,0.71342,0.50912,0.30165,0.89717,0.000808828,0.000808828,0.000808828
54,1598.72,0.66025,0.37853,0.96109,0.99788,0.87427,0.87,0.68624,0.53266,0.30798,0.89718,0.000792325,0.000792325,0.000792325
55,1628.23,0.62424,0.36669,0.94749,0.99807,0.87468,0.87,0.69184,0.53833,0.27982,0.89466,0.000775822,0.000775822,0.000775822
56,1657.8,0.64349,0.37479,0.95397,0.99579,0.8705,0.87,0.70592,0.52377,0.27742,0.88912,0.000759318,0.000759318,0.000759318
57,1687.29,0.63765,0.37068,0.95675,0.99829,0.87143,0.87,0.72115,0.50273,0.27926,0.8707,0.000742815,0.000742815,0.000742815
58,1716.88,0.62781,0.36264,0.94429,0.99791,0.875,0.87,0.70943,0.50817,0.27762,0.88824,0.000726312,0.000726312,0.000726312
59,1746.57,0.64752,0.37007,0.95495,0.99816,0.87459,0.87,0.69332,0.56695,0.30119,0.90347,0.000709809,0.000709809,0.000709809
60,1776.12,0.63553,0.35769,0.94945,0.99774,0.875,0.87,0.6888,0.556,0.2947,0.91169,0.000693305,0.000693305,0.000693305
